í	P RX RPX ADV ADVR RP
rita	VB VBPI
grikkir	NPR-N PRO-N ADJ-N NPRS-N
latínustöfum	NS-D
girskuna	N-A
$na	ADV N-A D-G D-A
latínumenn	NS-N
girskum	ADJ-D
stöfum	NS-D
latínu	NPR-A N-A NPR-D N-D
né	NEG Q21 Q-D CONJ NEG21
enn	P D-N N-N ADV ADVR CONJ
hebreskir	ADJ-N
hebreskuna	N-A
hvorki	CONJ-8 Q-A Q CONJ-3 CONJ-1 CONJ-2 Q-N WQ CONJ-4 CONJ WADV
grískum	ADJ-D
ritar	VBPI
sínum	NS-D PRO-D PRO-A N-D
hverega	WD-A
maður	INTJ N22-N MAN-N N-N NPR-N
skal	MDPI VBPI
annarrar	OTHER-G
verður	RDPI ADJ-N
sumra	Q-G
stafa	VB NS-G VBPI
vant	ADJ-A ADV ADJ-N VAN
tunga	N-N
hljóð	NS-A ADJ-N N-N NS-N N-A
þau	PRO-A D-N PRO-N NS-N D-A
finnast	VBDI N-D VBPI VB
svo	P ADJ21 ADVR-1 ADV21 ADJR ADV ADVR RP ADVS
ganga	VB NS-A VBPS VBPI
sumir	Q-N
stafir	NS-N
finnst	VBPI
það	Q-A PRO-A C D-N ES WPRO-N PRON D-D ES-A ES-1 PRO-N PRO-D PRO-N-YYY D-A N-A
tungunni	NPR-D N-D
$nni	D-D D-A
stafirnir	NS-N
$nir	D-A D-N
þeir	PRO-G D-N D-D PRO-N Q-N NPR-N NUM-N
enskir	ADJ-N
enskuna	N-A
þeim	N-N RPO-D D-D PRO-D
réttræðir	ADJ-N
verða	VB RDPS RD RDPI RD-3
enskunni	N-D
vinnast	VB VBN VBPI
til	P N21-A ADJ21 RPX ADV RP N21-D CONJ RP-3
við	N21 P PRO-A PRO RPX RP-2 PRO-N ADV RP N-A
aðra	NPRS-A ADJ-A OTHERS-A OTHER-A
marga	Q-A Q-N Q-D
þesskonar	ADJ-A D+N-G
taka	VB VBDI VBPI
máli	N-N N-D
þeirra	PRO-G PRO-A D-G D-N PRO-N PRO-D D-A
nú	INTJ ADV
eftir	P RPX ADV21 ADV RP
dæmum	NS-D VBPI
alls	Q-G P ADV Q-D
vér	N-N PRO-N NPR-N
erum	BEPI VBPI
einnar	ONE-G
mjög	N-N ADV ADVR
önnur	OTHER ADJ-N OTHERS-N OTHER-N PRO-N Q-N OTHER-A OTHERS-A
nakkvað	N-N Q-A Q-N N-A
báðar	PRO-N Q-A Q-N
þess	N-G NPR-A PRO-G D-G D-N NUM-G D-A ADJ-G
hægra	ADJ-A ADJR-N ADJ-N ADJR-A ADV ADVR ADJR-D ADJ-D ADJ-G
verði	RDPS RDPI NS-A N-D VBPS RDDS
lesa	VB VBPI
tíðist	VBDI
þessu	D-D D-N-TTT PRO-D D-N
landi	N-D
bæði	CONJ-5 Q-A CONJ-6 Q CONJ-3 Q-D CONJ-1 CONJ-2 CONJ-9 Q-N CONJ-4 CONJ-7 CONJ VBDS
áttvísi	N-N N-A
þýðingar	N-A NS-N
helgar	ADJ-A NS-G NS-A ADJ-N VBPI
hin	PRO-N D-N PRO-A D-A
spaklegu	ADJ-A
fræði	NS-D NPR-A NS-A NS-N N-A
ari	NPR-A NPR-D N-D N-N NPR-N
þorgilsson	NPR-N
sett	VBN VAN
skynsamlegu	ADJ-D
viti	N-N VBPS VBPI N-D
hefi	HVPI HVPS VBPS VBPI
ég	N-N NPR-A PRO-N NPR-N
ritað	VAN-A VBN VAN
oss	PRO-G PRO-C PRO-D PRO-A
íslendingum	NPRS-D
stafróf	N-N N-A
mér	NPR-D N-D N-N PRO-N PRO-D
þótti	VBDI
gegna	VB VBPI
vors	N-G PRO-G
máls	N-G
vel	FP22 ADV ADJ-N FW
mættu	VBDI MDDI MDDS VBI
öðrum	ADJ-D PRO-D OTHERS-D OTHER-D
þurfa	VB ADJ-N VBPI
vera	BE N-N VB
voru	BEDI PRO-D
teknir	VAN
atkvæðum	NS-D
vorrar	NPR-A ADJ-G PRO-G PRO-A
samhljóðendur	N-A NS-A NS-N
nokkurir	Q-N ADJ-N
latínustafrófi	N-D
gjörvir	DAN
raddarstafir	NS-N
öngvir	Q-N
margir	Q-N ADJ-N
vor	N-G NPR-A PRO-G PRO-A N-D PRO-N PRO-D N-N NPR-N N-A
flesta	QS-A
hljóðs	N-G
raddar	N-G
mega	VB MDDI MDPS VBPI MD MDPI
ekki	NEG Q-A NEG-1 NP-SBJ Q-N PRO-N N-A
mál	NS-A N-N NS-N NS22 N-A
atkvæði	NS-A N-D N-N NS-N N-A
gjöra	VB DOPI DO
einir	ONE-N ADJ-N FP-N ONES-N
sig	N-A PRO-A FW
megi	MDPS MDPI
nafn	N-N N-A
án	P NPR-D
raddarstafs	N-G
raddarstafnum	N-D
$num	D-D D-A
einum	FW-D ADJ-D FP-D ONE-D
sér	VBDI BEPS PRO-A Q21 ADJ-N N-D PRO-D ADV VBPS BEPI POR-D VBPI BEPS-TTT
hverjum	WPRO-D WPRO-N WQ-D WQ-N Q-D WD-D WD-N WDD WPRO-G PRO-D Q-N WPRO
má	VB NPR-A VBI NPR-N VBPI MDPI
kveða	VB VBPI
hann	NPR-A PRO-G PRO-A PRO-N N-N PRO-D NPR-N N-A VBPI
heitir	VBPS VBPI
honum	PRO-D N-A
kveður	VBPI
hverju	Q-A WPRO-D WPRO-N WQ-D D-D Q-D WD-D WPRO-G
bera	VB ADJ-A VBPI
tign	N-N N-A N-D
samhljóðöndum	NS-D
almætti	N-N N-A N-D
hálfmætti	N-D
fyrri	ADJR-N ADJR-A ADJR-G ADJR ADV ADVR ADJR-D ADJ-D ADVS
setta	VBDI VAN-A VBN-A
stafrófi	N-D
umræðu	N-G N-A N-D
hér	N-A ADV DV RP
:	: , .
hljóðstafi	NS-A
fimm	NS-G NUM-A NUM-G NUM-D NUM-N
áður	ADJR P ADV ADVR
a	N-N N-A NPR-N FW
e	NUM-A N-N NPR22 NPR-N FW N-A
i	P ONE-N NUM-A N-N NPR-N FW N-A
o	INTJ N-N N-A NPR-N
u	N-N N-A
gjörva	DON VAN-A DAN-A
þessa	N-G D-G D-N D-D D-A
fjóra	NUM-A
ritnir	VAN
ǫ	N-N N-A
ę	N-N N-A
ø	N-N N-A
y	N-N N-A
lykkju	N-A N-D
ai	N-D
hringinn	N-A
$inn	D-A-TTT D-N VAN D-A
oi	N-D
hljóði	N-D
saman	ADJ-D ADV
blandinn	VAN
kveðinn	VAN
minnur	QR QR-N VBPI
opnum	ADJ-D
munni	N-N N-D
meir	Q-A QR-N QR-D ADJR-A Q-N ADVR QR QR-A QR-G
ritinn	VAN
með	P ADV RP RPX
as	N-G
vexti	NS-D N-A NS-A N-D
es	N-G NP-SBJ-1 N-N BEPI FW
tveim	NUM-D
samfelldur	ADJ-N
os	N-G
felldur	VAN
enda	VB N-G P VBN NS-G N-D ADV N-A CONJ VBPI
kvisti	N-D
osins	N-G
$ins	D-G D-A
hring	N-A NPR-D N-D
röddu	N-D
is	N-G FW
us	N-G
gjörr	DAN ADVR
kvísl	N-A N-D
höfuðstafs	N-G
síðari	ADJR-N ADJR-G ADJR-D ADJR-A
ui	N-N N-D
skipað	VBN VAN
nokkur	Q-A Q-N
svari	VBPS N-D
„	"
full	ADJ-A ADJ-N ADV21 ADV VBN21
danska	ADJ-A ADJ-N ADJ-D ADJ-G
réttum	NS-D ADJ-D
sé	VBDI BEPS VBI D-N BEDS BEI VBI-TTT PRO-D BEPI VBPS PRO-D-TTT VBN VBPI
;	, ; .
líkindum	NS-D
ráða	VB NS-G VBPI
hve	ADV WADV
séu	BEPS
allir	QS-N Q-A Q-N
les	VBPI
ræki	VBPS VBPI VBDS
hvort	Q-A WQ-A WPRO22 C WPRO-N Q+NUM21 WPRO-A WQ-N WD-A Q-N WQ WPRO WADV
þú	N-N NPR-A PRO-N NPR-N
þitt	N-N PRO-N PRO-A
“	"
svara	VB NS-G VBPI
rúnanna	NS-G
$nna	D-N D-G D-A
kostur	N-N
lesir	VBPS
ráðir	VBPS
rúnir	NS-A NS-N
vísa	VB N-G ADJ-A VBI N-N ADJ-D N-A VBPI ADJ-G
óskýrt	ADV ADJ-N
þinn	PRO-G PRO-N N-A PRO-A
örvænt	ADJ-N VAN
þeygi	ADV
$eygi	NEG
lesi	VBPS
minn	PRO-G PRO-A PRO-TTT-A PRO-N NS-N NS-A-TTT
maki	N-N
ef	P C N-N ADV WQ CONJ
sá	VBDI VB D-N N-D N-N PRO-N NPR-N D-A VBPI
ráði	NS-G VBPS N-D
hvers	PRO-G WPRO-N Q-G WD-G WPRO-G WQ-G WADV
hins	Q-G PRO-G D-G
rétta	VB ADJ-A NS-G ADJ-D ADJ-N ADJ-G
færa	VB ADJ-A VBPS VBPI VBDS
fleiri	QR-N QR-D ADJR-A ADVR QR-A QR-G
vega	VB NS-G NS-A N-A VBPI
rétts	N-G ADJ-G
einn	Q22 ONE-N ADJ-A FP-N PRO-A FP-N-6 FP-A ADJ-N FP ONE-A
veg	N-A N-D
skýrt	ADV ADJ-N VBN VAN
kveðið	VBN VAN
geta	VB N-N VBPI MD VBN MDPI
lést	VBDI VBDS
kunna	VB ADJ-A VBPI
nokkuð	Q-A Q-N ADV Q-D
rétt	ADJ-A ADJ VBI ADJ-N NS-A ADV21 ADV N-A VBN VAN
vís	ADJ-A ADJ-N N-D
von	N-N N-A FW N-D
vilji	MDPS MDPS-TTT N-N VBPS VBPI MDPI
eins	ADVR-A Q22 ADJ-A ONE-G ADVS ONE-D FP ADJ-N ONE-D-TTT ADJR-A ADJR ADV ADVR ONE-A FP22 ADJ-D FP-G ADJ-G
skiptir	VBPI VAN
allra	Q-G Q-A Q-N Q-D
helst	VBDI ADJS-N ADJ-N QS-N VBPI ADVS
lögum	NS-D
tel	VBPI
þig	NPR-A PRO-A
svarað	VBN VAN
lætur	VBPI
níu	NUM-A NUM-N NUM-D NUM-G
klýf	VBPI
þessum	ADJ-D D-D
sex	NUM-A NUM-G N-D N-N NUM-D FW NUM-N
greinir	NS-A N-N NS-N N-A VBPI
fjórða	ADJ-A ADJ-D ADJ-N NUM-D ADJ-G
tugar	N-G NS-G
sitt	PRO-N ADJ-N PRO-A
gjöri	DOPS DOPI VBPS
glöggt	ADV ADJ-N
skildar	VAN
mun	MDDI MDPS VBI N-D N-N ADVR N-A MDPI
átta	VBDI VB ADJ-A NUM-A ADJ-N NUM-G VAN-A NUM-D ADJ-D VBN VBPI NUM-N
engi	Q-A NPR-D NS-A Q-D N-N Q-N NS-N N-A
grein	N-N N-A N-D
gjörð	DAN N-N N-A N-D
meðal	P ADJ-A N-N ADV N-A
hinna	PRO-G D-G D-A
samhljóða	ADJ-N NS-G VBPI
sinn	PRO-A NS-A N-D N-N PRO-N N-A
hvern	Q-A WQ-A PRO-A WPRO-N WPRO-A WD-N WD-A Q-N
sýna	VB VBPI
dæmi	NS-A N-D N-N NS-N NPR-N VBPS N-A VBPI
gefa	VB VBPI
fulltingi	N-A N-D
hinn	PRO-A D-N D-D D-MSA D-MSN PRO-N D-A
sama	VB ADJ-A PRO-A ADJ-N ADJR-A PRO-D ADV ADJ-D ADJ-G
stað	NPR-A N-A NPR-D N-D
settur	VAN
annar	OTHER-N ADJ-N
of	P RPX ADV21 ADV ADVR FW RP N-A
allan	Q-A
þennan	D-A
bækling	N-A
líkustu	ADJS-G
greina	VB N-G NS-G VBPI
stöfunum	NS-D
gjörvar	DAN DAN-A
sar	N-N N-A
sǫr	NS-A NS-N
ser	N-N
sęr	N-N
sor	VBDI N-N
sør	ADJ-A N-N
sur	ADJ-N NS-N
syr	N-G N-N
veitti	VBDI VBPS VBPI VBDS
eitt	ONE-N FP-N ONE-D FP-A ADJ-N ONE-A ONE22-N FP-D
mörg	Q-A ADJ-A ADJ-N Q-N QR-A
…	,
goðinn	N-N
$nn	ADJ-A D-A D-N
ein	NEG ADJ-A ONE-N FP-N P-TTT FP-A ADJ-N ONE-A ONES-A ONES-N
særin	NS-A
augu	NS-D NPRS-N NS-A NS-N N-A
slík	PRO-N SUCH-N SUCH-A
duga	VB VBPI
betur	ADVR ADJR-N
spryngi	VBDI
ýr	RP
elur	VBPI
staf	N-A N-D
undir	VBDI P NS21-A NS-A RPX ADV NS-N RP
nef	N-N N-A
sú	D-A PRO-N NPR-N D-N
skýr	ADJ-A ADJ-N
hún	N-N PRO-N N-A NPR-N
skipta	VB VBPI
sýni	VBPS VBPI
set	VBPI VBI
punkt	N-A
fyrir	P RPX ADV ADVR RP
ofan	ADVP P ADV RP
kveðnir	VAN
har	N-N FW
hȧr	N-N
rǫ	N-N
r	N-N
þel	N-N N-A
þėl	N-N
fęr	N-N
fr	N-N VBPI
ısa	VB NS-A
isa	VB
orar	NS-N VBPI
ȯrar	PRO-G N-N
øra	VB ADJR-N
ra	N-N ADJR-A
þuat	N-A
þat	N-N VAN
syna	VB NS-G
sẏna	VB N-N
vex	VBPI
kvikindum	NS-D
fiskur	N-N NS-N
tré	NS-A N-D N-N NS-N N-A
seglviðum	NS-D
hyrning	N-N
húss	N-G
hnefa	NS-A N-A N-D
bundnum	ADJ-D
hlutur	N-N
felldar	N-G
smíðartól	N-N
sauðurinn	N-N
lambs	N-G
sa	D-A
skýja	NS-G
deild	N-N N-A N-D
komum	VBDI VBPI VBI
óræktir	N-N
spakt	ADJ-N
skyldi	VBDI MDDS MD VBPS
hið	D-A D-N
elsta	ADJS-N
barn	N-N N-A
eldra	ADJR-G ADJR-A ADJR-N
varst	BEDI
þu	PRO-N
at	RP FW C TO
klæðið	N-N N-A
$ð	D-A D-N
var	ADJ-N BEDI BEPI VBPI WADV
þriggja	NUM-G
austur	N-N N21 ADV N-A
þér	PRO-G NPR-D PRO-A N-D PRO-N PRO-D N-N NPR-N N-A
þetta	PRO-A D-N ES D-D PRO-N NPR-N D-A N-A
allt	Q-A D-N Q Q-D ADV21 Q-N ADV PRO-N
raddarstafanna	NS-G
ȧ	N-N
	N-N
ė	N-N
	N-N
ı	N-N N-A
ȯ	N-N
	N-N
	N-N
ẏ	N-N
riti	VBPS N-D
raddarstafi	NS-D NS-A
raddirnar	NS-N
fundust	VBDI
átján	NUM-A NUM-G NUM-N
latínuröddum	NS-D
gott	ADJ-A ADJ-N NS-A ADV N-N NS-N FW ADJ-G N-A
vita	VB N-G N-A VBPI
raddarstöfum	NS-D
stafur	N-N
langur	ADJ-N
skammur	ADJ-N
öðru	ADV21 ADJ-D OTHER-D
líkneski	NS-A N-D N-N NPR-N N-A
langan	ADJ-A ADJ-N
skamman	ADJ-A
ɛ	N-N
sjá	VB BEPS D-N VBI N-D VBPS D-A N-A VBPI
ʜ	N-N
ο	N-N
ω	N-N
vil	N-A MDPI VBPI
jafnt	ADJ-A ADJ ADJR-N ADJ-N ADJR-A ADV ADVR
hinar	PRO-N D-A D-N
merkja	VB NS-G VBPI
löngu	ADJ-A ADJ-G N-D ADJ-D
striki	N-D
frá	VBDI P RPX-3 RPX ADV RP-6 RP
hinum	D-D PRO-D
skömmum	NS-D ADJ-D
far	N-A N-N N22-A VBI
fár	Q-N N-N ADJ-N
rȧmr	ADJ-N
rmr	ADJ-N
ǫl	Q-N N-N NS-N
l	N-N
vȯn	N-N
n	N-N N-A NS-N FW
seþo	VBI
séþo	VBDI VBPI
frȧmėr	ADJ-N
mr	PRO-D
vęr	N-N N-A
vr	ADJ-N
vnesk	VB
vnesk	VB
vıl	N-N
víl	N-N
minna	VB N-G Q-A PRO-G QR-G NS-G PRO-A ADJR-N Q-G QR-N ADJR-A QR-D ADJR-G Q-N QR ADJR-D QR-A
mnna	PRO-G
goþ	N-N N-A
góð	ADJ-A ADJ-N
mȯna	N-N MDPI
mna	N-N
goðrøði	N-N NPR-D
góðrði	N-N
mǿndi	MDPS
mndi	N-N VBDS
dura	NS-G
dúra	VB
rnar	NS-N
rnar	NS-N
flytr	VBPI
flýtr	NS-N VBPI
brẏnna	VBPI ADJR-N
brnna	VB ADJR
skip	N-A NS-A N-N NS-N N22-A
nokkurskonar	ADJ-N Q+N-G
nauð	N-N N-A N-D
sterkur	ADJ-N
rmur	ADJ-N
hási	ADJ-N
drykkur	N-N
l	N-N
band	N-N N-A
tungan	N-N
$n	N-N D-A D-N
málinu	N-D
$inu	D-D
vǫn	ADJ-N
tönnunum	NS-D
bitsins	N-G
vn	N-N
se	VBI
þo	PRO-N
saumförinni	N-D
$inni	D-D
réðu	VBDI
skammast	VB VBI VBPS VBN VBPI
mína	PRO-A
konu	N-G N-A NPR-G N-D
frȧ	P
varla	ADV ADVR
nær	P ADJ-A ADJS-N ADJ ADJR-N ADJ-N ADJR ADV ADVR VBPI WADV
vėnesk	VBPS
góður	ADJ-N
vondur	ADJ-N
vnesk	VBPI
góðum	ADJ-D
konum	NS-D
dul	N-N N-A
vęttir	VBPI
lina	VB VBPI
muni	MDPS NS-A VBPS MD MDPI
erfiði	NS-D NS-A N-D N-N NS-N N-A
huglan	ADJ-A
mann	NS21 NS-G N-N N22 N-A
hugðra	ADJ-G
erinda	VB NS-G
kona	N-N NS-N NPR-N
göfgar	VBPI
sjálf	ADJ21-N PRO-N PRO-A
$a	NEG
mín	PRO-G PRO-N PRO-A
barnið	N-N N-A NPR-N
$ið	D-N D-D N-N D-A VBN
mig	PRO-A
verst	ADJS-N ADV ADJS-A VBPI ADVS
hjóna	NS-G
líkuðu	VBDI
rǿði	NS-N
góðar	ADJ-A ADJ-N
árar	NS-A NS-N
skáld	N-N N-A NS-N NPR-N
kvað	VBDI
kann	ADV21 ADV MDPI VBPI
ræði	NS-A VBPI
slíta	VB VBPI
|	LB
ræsis	N-G
her	N21-A N-D ADV N-N FW N-A
verri	NS-D ADJR-A ADJR-D ADJR-N
leka	VB N-D
mndi	MDDS
húsið	N-N N-A
smiðurinn	N-N
gesturinn	N-N
bóndinn	N-N
heita	VB ADJ-A NS-G ADJ-D VBPI
geltir	NS-N
málstafir	NS-N
flotinn	N-N
sækarlinn	N-N
stýrimaður	N-N
byrinn	N-A
nautunum	NS-D
.vi.	NUM-G
niður	RP ADV P
falla	VB VBPI
aldrei	ADV
þurfi	ADJ-N VBPS
skjótumst	VBPI
yfir	N21 P RPX ADV ADVR RP
mannsins	N-G N22-G NPR-G
fyrr	P ADJR ADV ADVR RP
getið	MDPS MDN VBN MDPI VAN
raddarstaf	N-A N-D
nema	VB P FP-N FP-N-3 FP FP-A ADV FW RP CONJ VBPI
hafnar	N-G VBPI
sínu	PRO-D
eðli	N-N N-A N-D
samhljóðandi	VAG N-N VAG-D
raddarstafur	N-N
stafaður	VAN
earn	N-N N-A
eir	N-N
eór	N-N
eyrer	N-N
vín	N-N N-A NS-N NS-A
orð	N-N N-A NS-N NS-A
flestir	QS-N QS-D
samhljóðanda	N-G N-A
skammt	N-A ADJ-A ADV ADJ-N
ritaðir	VBDI VAN
myndi	MDDS VBDS
iarn	N-A
mörgum	ADJ-D Q-D
stöðum	NS-D
fundið	VBN VAN
kynlega	ADJ-A ADV
þykja	VB VBPI
önnkost	N-A
gerði	N-A DODS DODI VBDS
væri	BEPS BEDS VBPS
þörf	ADJ-A ADJ-N N-D N-N N-A
ærin	ADJ-A N-N ADJ-N
efni	NS-A N-D N-N NS-N N-A
kænska	N-N
hverra	WD-G WPRO-G
hverja	Q-A WQ-A WPRO-N WPRO-A WQ-N WD-N WD-A Q-N
lund	N-A N-D
bók	NPR-A N-N N-A N-D
öll	PRO-N Q-A Q-N PRO-A
miklu	Q-A ADJ-A Q-G ADJ-N Q-D QR-D ADV Q-N ADJ-D QR-A ADJ-G
meiri	QR-G ADJR-N ADJ-N QR-N ADJR-A QR-D ADJR-D ADJ-D QR-A
mæla	VB VBDI VBPI
nokkrum	Q-D
orðum	NS-D
fara	VB NS-G VBPS VBN VBPI
um	P D-D RPX ADV21 RP-2 ADV RP-1 RP
eina	ADJ-A ONE-N FP-N ONE-D FP-A FP ONE-A ONE-G FP-G FP-D
skoraðir	VBDI
samhljóðandinn	N-N
hans	NPR-A PRO-G NPR-D PRO-A N-D PRO-N NPR-N NPR-G
auðskilið	ADJ-A ADJ-N VAN
lítið	ADJ-A Q-A ADJ Q ADJ-N ADV Q-N N-A VBPI
blandið	VAN
gróið	VBN VAN
stafað	VBN VAN
leitandi	VAG
hvar	Q-N ADV WADV
finnum	NPRS-D VBPS VBPI
skilinn	VAN
samstöfun	N-N N-A N-D
hvor	WPRO-N WQ-N WD-N PRO-N Q-N
oftast	ADVS
báðir	Q-N CONJ
höfundar	N-G NS-N
allrar	Q-G
rýnni	N-G
málsgreinar	N-G
smiðir	NS-N
smíðar	NS-N N-G VBDI NS-G
lögmenn	NS-A NS-N
laga	VB NS-G VBPI
líkt	ADJ-A ADJR-N ADJ-N ADV ADVR VAN
höfðu	HAN-TTT HVDI
hart	ADJ-A ADV ADJ-N
krafðir	VAN
hildur	N-N NPR-N
óx	VBDI
skildir	VB NS-N VAN
gang	N-A N-D
gamlir	ADJ-N
sprungu	VBDI N-D
gunnþings	N-G
earnhringar	NS-N
kveðandin	N-N
samstöfu	N-A N-D
sundur	ADV
tvær	NUM-A NUM-N
kveðandi	VAG N-N
haldist	VBN VBPS
hætti	VBDI N-D VBPS VBPI VBDS
rak	VBDI
nauður	N-N ADJ-N
ætti	VBDI VBDS
lítist	VBPS VBDS
einmáll	ADJ-N
hjámáll	ADJ-N
mælir	N-A N-N NS-A VBPI
mót	P NS-A N-D ADV NS-N N-A
mönnum	NS-D
skynsömum	ADJ-D
létust	VBDI
sjálfir	PRO-N
ritaði	VBDI
heyra	VB VBPI
skulu	MD MDPI
samstöfur	NS-A
deilt	VBN VAN
ástráð	N-A
katónis	NPR-G
réð	VBDI
syni	NS-D NPR-D NS-A N-D N-A
versum	NS-D
contra	FW
verbosos	FW
noli	FW
contendere	FW
verbis	FW
sermo	FW
datur	FW
cunctis	FW
animi	FW
sapientia	FW
paucis	FW
skilja	VB VBPI
hirð	N-N N-A N-D VBI
þræta	VB N-N VBPI
málrófsmenn	NS-A
málróf	N-N
gefið	VBI VAN-A VBN VBPI VAN
spekin	N-N
fám	MDPS Q-D N-D VBPS ADJ-D VBPI
lýk	VBPI
leita	VB VBPS VBPI VBI
guð	NPR-A NPR-D NS-A NPR22-N N-N NPR-N N-A NPR-G
lofar	VBPI
ræða	VB N-N VBPI
nafni	N-N N-D
nefnir	VBPS VBPI
nöfn	NS-A NS-N
njóta	VB VBPI
raddarstafa	NS-G
sagt	VAN-A VBN VAN
hvað	WNP-1 WPRO-D WPRO-N WD-A PRO-N Q-N ADV VBDI PRO-A WRPO-N WPRO-N-1 WD-N WADVP WADV WPRO-1 Q22 Q-A VBPI-TTT WADV-A D-N WPRO-A WD-D ADVR WPRO
stoða	VB VBPI
máliNU	N-D
$nu	D-D D-A
stoði	VBPS
máliinu	N-D
raddarstafirnir	NS-N
haga	VB N-G NPR-D NS-G NS-A N-D N-A VBPI
hafði	HVPI HVDI-TTT HDDI HVDI
nafninu	N-D
stoðar	VBPI
skilji	VBPS
lifir	VBPS VBPI
nafnsins	N-G
tekinn	VAN-A VBN VAN
b	N-N
d	N-N N-A N-D
g	N-N N-A CONJ N-D
h	N-N N-A
p	N-N
t	N-N N-A
mundang	N-A
mikið	Q-A ADJ-A ADJ-N Q-D ADV Q-N ADVR
stafs	N-G
tvo	NUM-A
hlutar	N-G
raddarstafinn	N-A
f	N-N
l	N-N
m	INTJ N-A NS-N FW
r	N-N
s	N-D N-N BEPI NPR-N N-A
samhljóðenda	NS-G
vill	VDPI MDPI VBPI
ber	ADJ-N VBPI VBI
vitni	NS-A N-D N-N NS-N N-A
nefnum	VBPI
myndum	NS-D MDDS VBPI
eff	N-N
ell	N-N
emm	N-N
err	N-N
ess	ADJ-A N-N N-A
minnka	VB VBPI
standi	VBPS VBPI N-D
nefndir	VBDI VAN
kostar	N-G VBPI
væru	BEDS
ritin	VAN-A VBN VAN
el	N-N
em	N-N BEPI C21
læt	VBPI VBI
standa	VB NS-G VBPI
þars	ADV
$s	C C21
hverngi	WD-A WPRO-A WD-G WD-D
höfuðstafsins	N-G
jarteina	VB NS-G VBPI
jafn	FP21 ADV ADJ-N ADVR
tveir	ADJ-N NUM-N
einskonar	ONE+N-G ADJ-A ADJ-N ADJ-D
konar	N-G
rit	NS-A N-N NS-N N-A VBPI
skjótara	ADJ-D ADVR ADJR-N
bókfell	N-N
drjúgara	ADJR-N
eftra	ADJ-A ADVR ADJR-A
c	NUM-A N-D NUM-G N-N NUM-D N-A NUM-N
eykur	VBPI
nafns	N-G
skipti	VBDI NS-A N-D N-N NS-N N-A VBPI VBDS
aukast	VB
jafnmikið	ADVR+Q-N ADJ-A ADVR+Q-A ADVR+Q
leggja	VB VBPI
lags	N-G
annarra	OTHER-G OTHERS-G
jartein	NS-D NS-A N-D N-N NS-N N-A
aukið	VBN VAN
jarteinar	N-G
halda	VB VBPI
minnkað	VBN VAN
